Time (s) Run #1,Position (mm) Run #1,Light Intensity (%) Run #1,Log of Light Intensity Run #1,,,,"ampiezza fenditure: 0,08 mm"
"2,92","13,26","0,8","1,9",,,,
"2,94","13,29","0,8","1,9",,,,
"2,96","13,32","0,8","1,9",,,,
"2,98","13,36","0,8","1,9",,,,
3,"13,41","0,8","1,9",,,,
"3,02","13,46","0,7","1,9",,,,
"3,04","13,52","0,7","1,9",,,,
"3,06","13,58","0,7","1,9",,,,
"3,08","13,66","0,7","1,9",,,,
"3,1","13,74","0,7","1,9",,,,
"3,12","13,81","0,7","1,8",,,,
"3,14","13,87","0,7","1,8",,,,
"3,16","13,92","0,7","1,8",,,,
"3,18","13,95","0,7","1,9",,,,
"3,2","13,99","0,7","1,9",,,,
"3,22","14,03","0,7","1,9",,,,
"3,24","14,08","0,7","1,9",,,,
"3,26","14,14","0,7","1,9",,,,
"3,28","14,2","0,7","1,9",,,,
"3,3","14,27","0,8","1,9",,,,
"3,32","14,34","0,8","1,9",,,,
"3,34","14,42","0,8","1,9",,,,
"3,36","14,5","0,8","1,9",,,,
"3,38","14,58","0,8","1,9",,,,
"3,4","14,65","0,8","1,9",,,,
"3,42","14,71","0,8","1,9",,,,
"3,44","14,77","0,7","1,9",,,,
"3,46","14,84","0,7","1,9",,,,
"3,48","14,92","0,7","1,9",,,,
"3,5","14,99","0,7","1,8",,,,
"3,52","15,06","0,7","1,9",,,,
"3,54","15,14","0,7","1,9",,,,
"3,56","15,21","0,7","1,9",,,,
"3,58","15,28","0,8","1,9",,,,
"3,6","15,35","0,8","1,9",,,,
"3,62","15,42","0,8","1,9",,,,
"3,64","15,5","0,8","1,9",,,,
"3,66","15,58","0,8","1,9",,,,
"3,68","15,65","0,8","1,9",,,,
"3,7","15,73","0,8","1,9",,,,
"3,72","15,8","0,8","1,9",,,,
"3,74","15,88","0,7","1,9",,,,
"3,76","15,96","0,7","1,9",,,,
"3,78","16,04","0,7","1,8",,,,
"3,8","16,13","0,7","1,8",,,,
"3,82","16,21","0,7","1,9",,,,
"3,84","16,29","0,7","1,8",,,,
"3,86","16,38","0,7","1,9",,,,
"3,88","16,47","0,7","1,9",,,,
"3,9","16,57","0,8","1,9",,,,
"3,92","16,66","0,8","1,9",,,,
"3,94","16,76","0,8","1,9",,,,
"3,96","16,85","0,7","1,9",,,,
"3,98","16,94","0,7","1,9",,,,
4,"17,03","0,7","1,9",,,,
"4,02","17,12","0,7","1,9",,,,
"4,04","17,21","0,7","1,8",,,,
"4,06","17,29","0,7","1,8",,,,
"4,08","17,38","0,7","1,8",,,,
"4,1","17,47","0,7","1,8",,,,
"4,12","17,56","0,7","1,8",,,,
"4,14","17,65","0,7","1,9",,,,
"4,16","17,73","0,7","1,9",,,,
"4,18","17,81","0,7","1,9",,,,
"4,2","17,88","0,7","1,9",,,,
"4,22","17,96","0,7","1,8",,,,
"4,24","18,04","0,7","1,9",,,,
