Time (s) Run #1,Position (mm) Run #1,Light Intensity (%) Run #1,Log of Light Intensity Run #1,,,,"ampiezza fenditure: 0,16 mm"
"2,92","7,44","0,8","1,9",,,,
"2,94","7,5","0,8","1,9",,,,
"2,96","7,56","0,9","1,9",,,,
"2,98","7,62","0,8","1,9",,,,
3,"7,67","0,8","1,9",,,,
"3,02","7,72","0,8","1,9",,,,
"3,04","7,77","0,8","1,9",,,,
"3,06","7,81","0,8","1,9",,,,
"3,08","7,86","0,8","1,9",,,,
"3,1","7,91","0,8","1,9",,,,
"3,12","7,96","0,8","1,9",,,,
"3,14","8,02","0,8","1,9",,,,
"3,16","8,09","0,9","1,9",,,,
"3,18","8,17","0,8","1,9",,,,
"3,2","8,26","0,8","1,9",,,,
"3,22","8,35","0,8","1,9",,,,
"3,24","8,45","0,8","1,9",,,,
"3,26","8,54","0,9","1,9",,,,
"3,28","8,63","0,8","1,9",,,,
"3,3","8,71","0,9","1,9",,,,
"3,32","8,78","0,8","1,9",,,,
"3,34","8,83","0,8","1,9",,,,
"3,36","8,88","0,8","1,9",,,,
"3,38","8,93","0,9","1,9",,,,
"3,4","8,97","0,8","1,9",,,,
"3,42","9,03","0,8","1,9",,,,
"3,44","9,09","0,8","1,9",,,,
"3,46","9,15","0,8","1,9",,,,
"3,48","9,23","0,8","1,9",,,,
"3,5","9,31","0,8","1,9",,,,
"3,52","9,4","0,8","1,9",,,,
"3,54","9,49","0,8","1,9",,,,
"3,56","9,57","0,8","1,9",,,,
"3,58","9,66","0,8","1,9",,,,
"3,6","9,74","0,8","1,9",,,,
"3,62","9,82","0,8","1,9",,,,
"3,64","9,9","0,8","1,9",,,,
"3,66","9,98","0,8","1,9",,,,
"3,68","10,06","0,8","1,9",,,,
"3,7","10,14","0,8","1,9",,,,
"3,72","10,21","0,8","1,9",,,,
"3,74","10,29","0,8","1,9",,,,
"3,76","10,36","0,8","1,9",,,,
"3,78","10,43","0,8","1,9",,,,
"3,8","10,5","0,8","1,9",,,,
"3,82","10,56","0,8","1,9",,,,
"3,84","10,62","0,8","1,9",,,,
"3,86","10,67","0,8","1,9",,,,
